location_name,cause_name,measure,number_change_2050_2019,age_structure_contribution,age_structure_contribution_Q1,age_structure_contribution_Q3,population_size_contribution,population_size_contribution_Q1,population_size_contribution_Q3,all_other_reasons_contribution,all_other_reasons_contribution_Q1,all_other_reasons_contribution_Q3,number_attributed_to_age_structure,number_attributed_to_age_structure_Q1,number_attributed_to_age_structure_Q3,number_attributed_to_population_size,number_attributed_to_population_size_Q1,number_attributed_to_population_size_Q3,number_attributed_to_all_other_reasons,number_attributed_to_all_other_reasons_Q1,number_attributed_to_all_other_reasons_Q3
Vanuatu,All causes,DALYs,101787.6,24.9,17.3,29.3,83.7,114.5,75.1,-8.6,-31.9,-4.4,25342.4,17650.6,29803.9,85205.1,116561.3,76440.9,-8759.8,-32424.3,-4457.2
Cambodia,All causes,DALYs,-987222.6,42.3,39.5,44.2,42.7,41.9,45.4,14.9,10.4,18.6,-417916.3,-389583.7,-436263.9,-421818.4,-413836.5,-447863.1,-147487.9,-103095.7,-183802.4
Indonesia,All causes,DALYs,20392963.3,42.1,40.5,43.4,38.6,37.3,40.3,19.3,16.3,22.2,8578698.1,8256323.6,8848724.9,7878239.6,7613154.6,8225024.8,3936025.6,3319213.6,4523485.1
Lao People's Democratic Republic,All causes,DALYs,-786473.6,42.7,39.6,44.6,45.7,42.3,48,11.6,18.1,7.4,-336032.5,-311771.6,-350996.1,-359539.2,-332322.9,-377358.3,-90901.9,-142379.1,-58119.2
Malaysia,All causes,DALYs,4087067.4,46,44.3,48,39.5,38,38.2,14.6,14,17.5,1878485.5,1809605.8,1961930.1,1613068.8,1553145.5,1562960.4,595513.1,571991.8,714501.2
Maldives,All causes,DALYs,91867,2.4,-14.6,10.7,41.3,39.3,45.2,56.3,50,69.4,2194,-13401.3,9818,37928.1,36105.9,41544.9,51744.8,45943.1,63723.4
Myanmar,All causes,DALYs,-4220521.5,43.1,39.8,45.4,40.9,39,43.1,15.9,11.6,21.3,-1820920.6,-1677907.7,-1915277.7,-1727614.5,-1645406.1,-1817075.4,-671986.4,-488168.3,-897207.7
Philippines,All causes,DALYs,12035786.6,41.4,37.9,44,43.9,40,45.2,14.7,10.8,22,4983671.4,4564808.8,5292433.6,5278566.6,4818751.4,5442646.6,1773548.6,1300706.4,2652226.4
Sri Lanka,All causes,DALYs,-717304.4,45.2,43.4,47.7,35.2,33.8,34.8,19.6,17.5,22.8,-324127,-311150.3,-342483.9,-252640.5,-242618.6,-249546.8,-140536.9,-125273.7,-163535.5
Thailand,All causes,DALYs,-4080704.2,47.6,44.9,51.2,33,33.5,33.7,19.5,15.1,21.7,-1941156.6,-1831012.7,-2090511.5,-1345459,-1365956.3,-1374884.2,-794088.5,-615308.5,-883735.1
Timor-Leste,All causes,DALYs,-120945.9,50.8,44.1,59.8,80.4,111.2,60.5,-31.2,-4.6,-71,-61489.2,-53290.9,-72312.9,-97198.3,-134482.3,-73180.1,37741.5,5525,85849.3
Viet Nam,All causes,DALYs,7975877.6,45.6,44,47.8,35.4,34.9,35.7,19.1,16.5,21.1,3633407.5,3509685,3814058.4,2822928.5,2784304.2,2844672.3,1519541.6,1317146.8,1681888.4
Mauritius,All causes,DALYs,105552.8,83.8,-252.9,376.6,2.8,-141.6,225.5,13.4,-135,127.4,88415.7,-266973.7,397552.8,2988.7,-149502.4,238053.7,14148.4,-142497.6,134472.9
Seychelles,All causes,DALYs,149774.3,38.7,38.1,39.5,45,45,45.5,16.3,15,16.8,57931.8,57128.2,59217.5,67464.6,67459.4,68083.8,24377.9,22472.9,25186.6
Angola,All causes,DALYs,8983671.5,17.4,12.4,22.5,88.8,110.4,120.2,-6.2,-32.6,-32.9,1560449.6,1115428.8,2024751.2,7977466.7,10795129.5,9917413.7,-554244.8,-2926886.8,-2958493.3
Central African Republic,All causes,DALYs,973146.6,4,-173.5,37.7,80.7,108.9,802.1,15.3,-46.6,-528.6,39045,-1688725.1,366963.9,784929.4,1059894.7,7805764.4,149172.1,-453712,-5143892.7
Congo,All causes,DALYs,186174.9,37.7,32.3,40.2,100.5,120,94.1,-38.2,-34.3,-52.4,70110.8,60174.6,74795.3,187197.6,175174.2,223468.2,-71133.4,-63794.5,-97467.9
Democratic Republic of the Congo,All causes,DALYs,31424422,19.9,14,26.9,58.7,77.1,79.4,21.4,-6.2,9,6250457.5,4393013,8447646.3,18453950.7,24216880.8,24939319.3,6720013.8,-1962543.6,2814528.2
Equatorial Guinea,All causes,DALYs,-95908.3,43.4,40.3,45.1,80.4,61.3,81.2,-23.8,-1.7,-26.3,-41607.9,-38684.1,-43239.2,-77087.5,-58820.9,-77866.7,22787.1,1596.7,25197.6
Gabon,All causes,DALYs,469045.4,29.3,26.2,31.6,85.2,75.3,85.5,-14.5,-11.7,-6.9,137596,122727.3,148039.5,399429.4,353213.1,401135,-67979.9,-32207.2,-54816.9
Burundi,All causes,DALYs,-235557.1,34.1,-37.9,80.5,302,-475,3009.6,-236.1,-2871.7,494.5,-80222.7,-189608.6,89241.1,-711468.9,-7089250.7,1118965.8,556134.6,-1164914.3,6764452.5
Comoros,All causes,DALYs,240591,12.6,21.1,6.1,96.9,104.7,80,-9.5,-1.1,-10.8,30423,14679.9,50779.2,233135.6,192461.2,251890.8,-22967.6,-25979.6,-2649.5
Djibouti,All causes,DALYs,4572.6,-25.2,-430.2,329.3,21.6,-40.7,32.7,103.6,-261.9,570.9,-1150.5,-19673.5,15055.8,987.7,-1859.7,1493.3,4735.4,-11976.5,26105.8
Eritrea,All causes,DALYs,-1647941.2,51.5,46.7,61.5,41,37.9,50.4,7.4,-12,15.4,-849288.4,-1014233.9,-769381.7,-675968.6,-625365.5,-831125.1,-122684.1,-253194,197417.8
Ethiopia,All causes,DALYs,-8772634.3,45.1,35.2,51.2,124.8,121.5,135.7,-69.9,-56.7,-86.9,-3960231.7,-3088094.6,-4493770.3,-10944315.7,-10658617.8,-11903183.2,6131913.1,4974078.1,7624319.3
Kenya,All causes,DALYs,15759073.6,30.4,27.7,33.3,57.7,59.4,65.2,11.9,7.1,7.4,4798598.2,4367924.8,5240661,9089591.4,10269768.5,9356732.9,1870884,1121380.3,1161679.7
